Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",latitude,longitude,num_stops,num_stations,num_schools,num_restaurants,num_landmarks,total_transport
"6 The Bend, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,650.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,-37.838600150000005,144.91836341520448,0.0,0.0,0.0,2.0,1.0,0.0
"1/79 Dodds Street, 
SOUTHBANK VIC 3006",SOUTHBANK,675.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,-37.8304826,144.9670995,16.0,0.0,7.0,87.0,21.0,16.0
"307/260 City Rd, 
SOUTHBANK VIC 3006",SOUTHBANK,675.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"26 Aspire Place, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,679.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,-38.0062741,145.161576,0.0,0.0,6.0,0.0,0.0,0.0
"10 Kooyong Road, 
ARMADALE VIC 3143",ARMADALE,680.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,-37.8562349,145.0205739,9.0,1.0,11.0,0.0,0.0,10.0
"82 North Street, 
ASCOT VALE VIC 3032",ASCOT VALE,680.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,-37.7761717,144.9267516,8.0,1.0,16.0,0.0,0.0,9.0
"1A Sydney Street, 
ASCOT VALE VIC 3032",ASCOT VALE,680.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,-37.7741728,144.9288491,10.0,0.0,16.0,0.0,0.0,10.0
"60 Brisbane Street, 
BERWICK VIC 3806",BERWICK,680.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,-38.0276971,145.3482027,0.0,0.0,0.0,0.0,0.0,0.0
"67 Tinning St, 
BRUNSWICK VIC 3056",BRUNSWICK,680.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.7582549,144.9516963,0.0,0.0,12.0,0.0,0.0,0.0
"12 Ravenswood Court, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,680.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,-38.107588,145.1887175,0.0,0.0,0.0,0.0,0.0,0.0
"461 Glen Eira Road, 
CAULFIELD VIC 3162",CAULFIELD,680.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,-37.8810368,145.0314351,0.0,0.0,11.0,0.0,0.0,0.0
"3/17 Waratah Avenue, 
TULLAMARINE VIC 3043",TULLAMARINE,380.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,-37.7055558,144.8829961,0.0,0.0,3.0,0.0,0.0,0.0
"29/112A Mickleham Rd, 
TULLAMARINE VIC 3043",TULLAMARINE,380.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"4 Dobell Crescent, 
WERRIBEE VIC 3030",WERRIBEE,380.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,-37.8853683,144.6707696,0.0,0.0,7.0,0.0,0.0,0.0
"25 Nattarak Avenue, 
WERRIBEE VIC 3030",WERRIBEE,400.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,-37.92086,144.6253194,0.0,0.0,1.0,0.0,0.0,0.0
"2/24 Riverside Avenue, 
WERRIBEE VIC 3030",WERRIBEE,380.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,-37.9178223,144.6594606,0.0,0.0,6.0,0.0,0.0,0.0
"103 Duncans Road, 
WERRIBEE VIC 3030",WERRIBEE,380.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,-37.9096116,144.6777334,0.0,0.0,4.0,0.0,0.0,0.0
"8/62 Anzac Drive, 
WOLLERT VIC 3750",WOLLERT,380.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,-37.6163677,145.041834,0.0,0.0,1.0,0.0,0.0,0.0
"1 Whitehaven Street, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,380.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,-37.8941249,144.6244298,0.0,0.0,6.0,0.0,0.0,0.0
"14 Havelock Place, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,380.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,-37.8928972,144.6185745,0.0,0.0,4.0,0.0,0.0,0.0
"6/3 Coles Court, 
BEAUMARIS VIC 3193",BEAUMARIS,400.0,14124.0,2366.7,47.6,8464.0,0.0,0.0,8.0,101.0,98.0,47.0,46.0,47.0,3.0,58.0,4283.0,880.0,312.0,612.0,644.0,18.0,142.0,-37.9798556,145.0472519,0.0,0.0,10.0,0.0,0.0,0.0
"6 Mokhtar Drive, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,400.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,-37.8734001,144.7107486,0.0,0.0,5.0,0.0,0.0,0.0
"7/8 Clyde Street, 
MARIBYRNONG VIC 3032",MARIBYRNONG,400.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,-37.7664056,144.8997345,6.0,0.0,12.0,0.0,0.0,6.0
"1/18 McDonald Street, 
WERRIBEE VIC 3030",WERRIBEE,400.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,-37.9046058,144.6606409,0.0,0.0,7.0,0.0,0.0,0.0
"16 Waxflower Crescent, 
BUNDOORA VIC 3083",BUNDOORA,385.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,-37.6785054,145.0567279,0.0,0.0,8.0,0.0,0.0,0.0
"12/31 Rosstown Road, 
CARNEGIE VIC 3163",CARNEGIE,385.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,-37.8851298,145.0545986,0.0,1.0,8.0,0.0,0.0,1.0
"4/16 Princes St, 
ABBOTSFORD VIC 3067",ABBOTSFORD,850.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,-37.8095167,144.99974,9.0,0.0,14.0,1.0,0.0,9.0
"B1001/8 Grosvenor Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,850.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"150 Danks Street, 
ALBERT PARK VIC 3206",ALBERT PARK,850.0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,-37.84734325,144.95114682133914,6.0,0.0,0.0,0.0,0.0,6.0
"4/151 Victoria Avenue, 
ALBERT PARK VIC 3206",ALBERT PARK,850.0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,-37.8476643,144.948228,4.0,0.0,0.0,0.0,0.0,4.0
"2 Densham Road, 
ARMADALE VIC 3143",ARMADALE,850.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,-37.8506046,145.0182076,6.0,1.0,11.0,0.0,0.0,7.0
"11 Aspect Avenue, 
ASCOT VALE VIC 3032",ASCOT VALE,850.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,-37.7761066,144.9058023,0.0,0.0,8.0,0.0,1.0,0.0
"31 Rose Street, 
BRUNSWICK VIC 3056",BRUNSWICK,850.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.7576605625,144.9521214875,0.0,0.0,12.0,0.0,0.0,0.0
"101/60 La Scala Avenue, 
MARIBYRNONG VIC 3032",MARIBYRNONG,550.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,-37.7804483,144.8928601,7.0,0.0,9.0,0.0,0.0,7.0
"7 Covent Gardens, 
POINT COOK VIC 3030",POINT COOK,500.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,-37.89245285,144.74484498422223,0.0,0.0,8.0,0.0,0.0,0.0
"31 Hood Crescent, 
SUNBURY VIC 3429",SUNBURY,550.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,-37.5734079,144.7167014,0.0,0.0,0.0,0.0,0.0,0.0
"27 Loxwood Avenue, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,550.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,-37.988571,145.1571955,0.0,0.0,6.0,0.0,0.0,0.0
"18/5 Linoak Avenue, 
LALOR VIC 3075",LALOR,550.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,-37.6644393,145.0120468,0.0,1.0,14.0,0.0,0.0,1.0
"7/172 Wattletree Road, 
MALVERN VIC 3144",MALVERN,550.0,22221.0,2936.7,38.2,14931.0,0.0,0.0,25.0,320.0,184.0,122.0,54.0,103.0,0.0,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,-37.8630504,145.0336036,13.0,0.0,11.0,0.0,0.0,13.0
"16C Banksia Street, 
CLAYTON VIC 3168",CLAYTON,555.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,-37.9145469,145.118958,0.0,0.0,6.0,0.0,0.0,0.0
"812V/162 Albert Street, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,555.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"19 Cambridge Drive, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,555.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,-37.8909926,145.14724,0.0,0.0,9.0,0.0,0.0,0.0
"114 Mansfield Street, 
BERWICK VIC 3806",BERWICK,560.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,-38.0295582,145.3278776,0.0,0.0,0.0,0.0,0.0,0.0
"1/195-197 Brunswick Road, 
BRUNSWICK VIC 3056",BRUNSWICK,560.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"67 Leichhardt Ave, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,560.0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,-37.735225,144.7555433,0.0,0.0,10.0,0.0,0.0,0.0
"13 Springlake Avenue, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,560.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,-37.7494705,144.7314084,0.0,0.0,4.0,0.0,0.0,0.0
"15 Webster Court, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,560.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,-38.0924704,145.1732984,0.0,0.0,0.0,0.0,0.0,0.0
"34 Vivace Avenue, 
CLYDE VIC 3978",CLYDE,560.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"52 Jamieson Street, 
COBURG VIC 3058",COBURG,560.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,-37.7468947,144.9512477,1.0,0.0,16.0,0.0,0.0,1.0
"7 Farmington Rd, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,425.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"9 Sugar Glider Way, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,450.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,-37.5671564,144.8995151,0.0,0.0,3.0,0.0,0.0,0.0
"12 Juliet Avenue, 
TARNEIT VIC 3029",TARNEIT,450.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,-37.8408102,144.6547215,0.0,0.0,5.0,0.0,0.0,0.0
"2/216 Dawson Street, 
BRUNSWICK VIC 3056",BRUNSWICK,450.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.7713508,144.959483,6.0,2.0,13.0,0.0,0.0,8.0
"3/15 Irrelach Lane, 
COBURG VIC 3058",COBURG,450.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"5/15 Irrelach Lane, 
COBURG VIC 3058",COBURG,450.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"129 Melrose Drive, 
TULLAMARINE VIC 3043",TULLAMARINE,450.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,-37.7061887,144.8846958333333,0.0,0.0,3.0,0.0,0.0,0.0
"2 Magdalena Place, 
BERWICK VIC 3806",BERWICK,430.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,-38.0206138,145.31870578456318,0.0,0.0,0.0,0.0,0.0,0.0
"1 Walker Place, 
BRAYBROOK VIC 3019",BRAYBROOK,430.0,19361.0,2586.9,34.1,14063.0,0.0,0.0,101.0,91.0,43.0,105.0,30.0,93.0,0.0,77.0,3748.0,3404.0,799.0,350.0,3131.0,182.0,675.0,-37.7832995,144.8555954,0.0,0.0,9.0,0.0,0.0,0.0
"213/2A Michael Street, 
BRUNSWICK VIC 3056",BRUNSWICK,430.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.7726801,144.9603585,6.0,1.0,12.0,0.0,0.0,7.0
"2/17 Sydney Road, 
BRUNSWICK VIC 3056",BRUNSWICK,430.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,-37.760734,144.9632159,6.0,1.0,10.0,0.0,0.0,7.0
"4/15 Speight Street, 
NEWPORT VIC 3015",NEWPORT,410.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,-37.8426322,144.8767013,0.0,0.0,8.0,0.0,0.0,0.0
"12/446 BELL Street, 
PRESTON VIC 3072",PRESTON,410.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,-37.7462477,145.0138954,0.0,0.0,15.0,0.0,0.0,0.0
"10 Reservoir Street, 
RESERVOIR VIC 3073",RESERVOIR,410.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.71037195,145.00969687802314,0.0,1.0,10.0,0.0,0.0,1.0
"11/5-9 Claude Street, 
SEAFORD VIC 3198",SEAFORD,410.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"905N/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,410.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"2/59 Albion Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,410.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,-37.8433265,144.9883263,7.0,0.0,19.0,32.0,5.0,7.0
"3/24 Balmoral Avenue, 
SPRINGVALE VIC 3171",SPRINGVALE,410.0,35275.0,4822.8,73.8,24219.0,0.0,0.0,51.0,139.0,72.0,248.0,38.0,233.0,11.0,47.0,8843.0,2242.0,955.0,711.0,3856.0,439.0,1078.0,-37.9487366,145.1449902,0.0,0.0,10.0,0.0,0.0,0.0
"76 East Esplanade, 
ST ALBANS VIC 3021",ST ALBANS,410.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,-37.7417459,144.7988277,0.0,1.0,11.0,0.0,0.0,1.0
"4/76 Pakington Street, 
ST KILDA VIC 3182",ST KILDA,410.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,-37.8657176,144.9864053,20.0,0.0,18.0,0.0,0.0,20.0
"3/4 Herbert Crescent, 
SUNBURY VIC 3429",SUNBURY,410.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,-37.5735497,144.7053407,0.0,0.0,0.0,0.0,0.0,0.0
"1801/2-14 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,1400.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"262/183 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,1400.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"2204/22 Dorcas Street, 
SOUTHBANK VIC 3006",SOUTHBANK,1400.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"3101/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,1449.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,-37.8212563,144.9645395,19.0,1.0,10.0,1081.0,62.0,20.0
"54 Shoobra Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,1450.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,-37.8889212,145.0079341,4.0,0.0,15.0,0.0,0.0,4.0
"18 Greylea Grove, 
SEABROOK VIC 3028",SEABROOK,530.0,5002.0,3087.8,37.1,3399.0,0.0,0.0,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,-37.8759072,144.76238365194695,0.0,0.0,3.0,0.0,0.0,0.0
"4/19 Austin Road, 
SEAFORD VIC 3198",SEAFORD,530.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,-38.1074411,145.1533438,0.0,0.0,5.0,0.0,0.0,0.0
"25 Elisdon Drive, 
SEAFORD VIC 3198",SEAFORD,530.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,-38.110234,145.1499945,0.0,0.0,8.0,0.0,0.0,0.0
"15 Billow Walk, 
SOUTH MORANG VIC 3752",SOUTH MORANG,530.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"25 Billow Walk, 
SOUTH MORANG VIC 3752",SOUTH MORANG,530.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"18 Monet Place, 
SOUTH MORANG VIC 3752",SOUTH MORANG,530.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,-37.6159551,145.0944805,0.0,0.0,0.0,0.0,0.0,0.0
"2/23 St Leonards Court, 
SOUTH YARRA VIC 3141",SOUTH YARRA,530.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,-37.8293833,144.9853513,0.0,0.0,12.0,23.0,12.0,0.0
