STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
19041,-37.823434,65-Victoria Rd/Burke Rd (Camberwell),145.058313,1,72,POINT (145.05831289063616 -37.82343403133051)
18967,-37.826054,64-Camberwell Station/Burke Rd (Hawthorn East),145.057631,1,72,POINT (145.0576310542072 -37.82605402133839)
18968,-37.823583,65-Victoria Rd/Burke Rd (Hawthorn East),145.05806,1,72,POINT (145.0580601709333 -37.823582981394004)
18969,-37.821481,66-Rathmines Rd/Burke Rd (Hawthorn East),145.058467,1,72,POINT (145.05846696832333 -37.82148103147235)
18970,-37.818589,67-Camberwell Girls Grammar/Burke Rd (Hawthorn East),145.059054,1,72,POINT (145.05905412504487 -37.818588971644886)
18971,-37.815992,68-Mont Albert Rd/Burke Rd (Kew),145.059542,1,72,POINT (145.05954192240878 -37.815992021876596)
18972,-37.814132,69-Sackville St/Burke Rd (Kew),145.059875,1,72,POINT (145.05987492094195 -37.81413199174644)
18973,-37.870059,36-St Kilda Primary School/Brighton Rd (Balaclava),144.988415,1,67,POINT (144.98841494715515 -37.8700589767573)
18974,-37.871771,37-Chapel St/Brighton Rd (Balaclava),144.989494,1,67,POINT (144.98949386966194 -37.871771047134324)
18975,-37.8728,38-Brunning St/Brighton Rd (Balaclava),144.990125,1,67,POINT (144.99012495150498 -37.872800017408444)
18976,-37.876636,39-Glen Eira Rd/Brighton Rd (Balaclava),144.992545,1,67,POINT (144.99254487215327 -37.87663599823716)
18977,-37.878886,40-Scott St/Brighton Rd (Balaclava),144.993973,1,67,POINT (144.9939729866011 -37.87888599830413)
18978,-37.880798,41-Coleridge St/Brighton Rd (Balaclava),144.995161,1,67,POINT (144.9951609816499 -37.880798048281164)
18979,-37.882957,42-Hotham St/Brighton Rd (Balaclava),144.996501,1,67,POINT (144.99650089436753 -37.8829569683066)
18980,-37.8838,43-Brighton Rd/Glenhuntly Rd (Elsternwick),144.997842,1,67,POINT (144.99784189095558 -37.88379999835893)
18981,-37.88415,44-Elsternwick Railway Station/Glenhuntly Rd (Elsternwick),145.00038,1,67,POINT (145.00037988769748 -37.88415000848053)
18982,-37.884613,45-Elsternwick Shopping Centre/Glenhuntly Rd (Elsternwick),145.003812,1,67,POINT (145.00381212383814 -37.88461296864829)
18983,-37.884862,46-Orrong Rd/Glenhuntly Rd (Elsternwick),145.005705,1,67,POINT (145.0057050019718 -37.884861998742394)
18984,-37.885271,47-Shoobra Rd/Glenhuntly Rd (Elsternwick),145.009127,1,67,POINT (145.00912715905065 -37.88527104891535)
18985,-37.885649,48-Parkside St/Glenhuntly Rd (Elsternwick),145.012267,1,67,POINT (145.01226708444554 -37.885649048804645)
18986,-37.885963,49-Kooyong Rd/Glenhuntly Rd (Elsternwick),145.014874,1,67,POINT (145.01487385151088 -37.88596296862541)
18987,-37.886391,50-Royal Pde/Glenhuntly Rd (Caulfield),145.01833,1,67,POINT (145.0183298610577 -37.88639100838663)
19000,-37.911078,67-Rogers Ave/Hawthorn Rd (Brighton East),145.017531,1,64,POINT (145.0175310130533 -37.91107800913784)
19001,-37.908517,66-Union St/Hawthorn Rd (Brighton East),145.017964,1,64,POINT (145.01796409329148 -37.90851696881492)
19002,-37.90637,65-Davey Ave/Hawthorn Rd (Brighton East),145.018329,1,64,POINT (145.018329133777 -37.906370018513954)
19003,-37.903782,64-Taylor St/Hawthorn Rd (Brighton East),145.018808,1,64,POINT (145.01880793545683 -37.903781978293736)
19004,-37.901196,63-North Rd/Hawthorn Rd (Brighton East),145.019332,1,64,POINT (145.01933209827084 -37.901196008264634)
19005,-37.898969,62-Gardenvale Rd/Hawthorn Rd (Caulfield South),145.019801,1,64,POINT (145.01980118093843 -37.898969048238435)
19006,-37.896552,61-Stone St/Hawthorn Rd (Caulfield South),145.020253,1,64,POINT (145.02025298392678 -37.89655200821414)
19007,-37.894881,60-Dover St/Hawthorn Rd (Caulfield South),145.020548,1,64,POINT (145.0205481860722 -37.894880978198614)
19008,-37.89304,59-Princes Park/Hawthorn Rd (Caulfield South),145.020904,1,64,POINT (145.0209038686256 -37.8930400281794)
19009,-37.889608,58-Sycamore St/Hawthorn Rd (Caulfield South),145.021553,1,64,POINT (145.0215529529118 -37.88960796814586)
19010,-37.886661,57-Glenhuntly Rd/Hawthorn Rd (Caulfield),145.022098,1,64,POINT (145.02209799149392 -37.88666100812608)
19011,-37.884838,56-Briggs St/Hawthorn Rd (Caulfield),145.022443,1,64,POINT (145.02244287052812 -37.88483796811399)
19012,-37.882449,55-Sylverly Gr/Hawthorn Rd (Caulfield North),145.022916,1,64,POINT (145.02291590918506 -37.88244900809752)
19013,-37.879934,54-Glen Eira Rd/Hawthorn Rd (Caulfield North),145.023404,1,64,POINT (145.02340406758384 -37.8799340480818)
19014,-37.877212,53-Northcote Ave/Hawthorn Rd (Caulfield North),145.02392,1,64,POINT (145.02391994563786 -37.877211998066734)
19015,-37.874939,52-Halstead St/Hawthorn Rd (Caulfield North),145.024356,1,64,POINT (145.02435590384619 -37.874939048046336)
19016,-37.872441,51-Balaclava Rd/Hawthorn Rd (Caulfield North),145.02482,1,"64,16",POINT (145.02481994038658 -37.872441007699585)
19017,-37.869514,50-Inkerman Rd/Hawthorn Rd (Caulfield North),145.02541,1,"64,16",POINT (145.0254099760247 -37.869514027384824)
19018,-37.86769,49-Arthur St/Hawthorn Rd (Caulfield North),145.025754,1,"64,16",POINT (145.02575413326525 -37.867689997195896)
19019,-37.865428,48-Hawthorn Rd/Dandenong Rd (Caulfield North),145.025769,1,64,POINT (145.0257688893348 -37.86542802690014)
19023,-37.864558,44-Bailey Ave/Dandenong Rd (Armadale),145.023837,1,64,POINT (145.02383712600204 -37.864557996680475)
19024,-37.863789,43-Egerton Rd/Dandenong Rd (Armadale),145.02205,1,64,POINT (145.02205008372482 -37.863789036533184)
19025,-37.86257,42-Kooyong Rd/Dandenong Rd (Armadale),145.019219,1,64,POINT (145.01921904079398 -37.86256998625529)
19026,-37.861923,41-Cantala Ave/Dandenong Rd (Armadale),145.017735,1,64,POINT (145.0177351195828 -37.86192297608639)
19027,-37.860825,40-Wattletree Rd/Dandenong Rd (Armadale),145.015173,1,"64,5",POINT (145.0151729980471 -37.86082497576295)
19028,-37.86027,38-Orrong Rd/Dandenong Rd (Prahran),145.011119,1,"64,5",POINT (145.01111903710932 -37.86027003543843)
19029,-37.859804,37-Lansdowne Rd/Dandenong Rd (St Kilda East),145.007528,1,"64,5",POINT (145.00752803672898 -37.859804014824626)
19030,-37.859395,36-Closeburn Ave/Dandenong Rd (St Kilda East),145.004641,1,"64,5",POINT (145.0046408370758 -37.85939496427223)
19031,-37.859063,35-Williams Rd/Dandenong Rd (Prahran),145.00207,1,"64,5",POINT (145.00207007765366 -37.85906304379642)
19032,-37.858413,34-The Avenue/Dandenong Rd (Windsor),144.997234,1,"64,5",POINT (144.9972338396519 -37.85841297294672)
19033,-37.858206,33-Hornby St/Dandenong Rd (Windsor),144.995694,1,"64,5",POINT (144.99569412052278 -37.858205972688296)
19034,-37.857494,32-Chapel St/Dandenong Rd (Windsor),144.991996,1,"64,5",POINT (144.99199584894086 -37.857493983372365)
19035,-37.856154,31-Queens Way/Queens Way (Windsor),144.987406,1,"64,5",POINT (144.98740585992974 -37.856153974285)
19036,-37.810873,70-Cotham Rd/Burke Rd (Kew),145.060596,1,72,POINT (145.06059599946772 -37.81087300085069)
19037,-37.814108,69-Peverill St/Burke Rd (Balwyn),145.060069,1,72,POINT (145.06006896104182 -37.81410805172272)
19038,-37.815743,68-Mont Albert Rd/Burke Rd (Camberwell),145.059765,1,72,POINT (145.05976512223825 -37.81574299188268)
19039,-37.818492,67-Camberwell Girls Grammar/Burke Rd (Canterbury),145.059227,1,72,POINT (145.05922692495324 -37.81849204162474)
19040,-37.821287,66-Canterbury Rd/Burke Rd (Camberwell),145.058722,1,72,POINT (145.05872184804102 -37.82128699142771)
19042,-37.825967,64-Camberwell Station/Burke Rd (Camberwell),145.057815,1,72,POINT (145.05781501396044 -37.825966991277774)
19043,-37.828024,63-Prospect Hill Rd/Burke Rd (Camberwell),145.057432,1,72,POINT (145.05743197684558 -37.828024031272385)
19044,-37.831088,61-Camberwell Junction/Burke Rd (Camberwell),145.05684,1,72,POINT (145.05684013998393 -37.83108799126782)
19045,-37.83389,60-Reserve Rd/Burke Rd (Camberwell),145.056312,1,72,POINT (145.05631202041562 -37.83389005113342)
19046,-37.835193,59-Seymour Gr/Burke Rd (Camberwell),145.056074,1,72,POINT (145.05607406059312 -37.83519298105863)
19047,-37.838086,58-Currajong Ave/Burke Rd (Camberwell),145.05552,1,72,POINT (145.0555200209829 -37.83808603088272)
19048,-37.840062,57-Pine Ave/Burke Rd (Camberwell),145.055139,1,72,POINT (145.05513914122497 -37.84006198074693)
19049,-37.841589,56-Anderson Rd/Burke Rd (Camberwell),145.054849,1,72,POINT (145.0548489809566 -37.841589010551424)
19050,-37.843656,55-Middle Rd/Burke Rd (Camberwell),145.054454,1,72,POINT (145.05445405975783 -37.84365604017563)
19051,-37.845614,54-Toorak Rd/Burke Rd (Camberwell),145.054084,1,72,POINT (145.05408397792948 -37.845613989750056)
19052,-37.847878,53-Howitt St/Burke Rd (Glen Iris),145.053627,1,72,POINT (145.05362713509706 -37.84787802912263)
19053,-37.849881,52-Bickleigh St/Burke Rd (Glen Iris),145.053222,1,72,POINT (145.0532221330222 -37.84988097859826)
19054,-37.852962,51-Gardiner Station/Burke Rd (Glen Iris),145.052663,1,72,POINT (145.05266305067013 -37.85296203785141)
19056,-37.854418,50-Glenarm Rd/Malvern Rd (Glen Iris),145.051295,1,72,POINT (145.0512950494731 -37.854417967492395)
19057,-37.854046,49-Belmont Ave/Malvern Rd (Glen Iris),145.048418,1,72,POINT (145.04841792825505 -37.85404599747561)
19058,-37.853732,48-Edgar St/Malvern Rd (Glen Iris),145.045835,1,72,POINT (145.04583492672882 -37.85373198742594)
19059,-37.853304,47-Tooronga Rd/Malvern Rd (Glen Iris),145.0423,1,72,POINT (145.04230008398505 -37.85330403731095)
19060,-37.852859,46-Shaftesbury Ave/Malvern Rd (Malvern),145.038823,1,72,POINT (145.0388228418342 -37.85285898727109)
19061,-37.852434,45-Elizabeth St/Malvern Rd (Malvern),145.035504,1,72,POINT (145.0355040025704 -37.852434007485805)
19062,-37.852084,44-Plant St/Malvern Rd (Malvern),145.032888,1,72,POINT (145.0328878836573 -37.852083997692496)
19063,-37.851723,43-Glenferrie Rd/Malvern Rd (Malvern),145.030204,1,72,POINT (145.03020408526888 -37.851723007938894)
19064,-37.85119,42-Lauriston Girls School/Malvern Rd (Armadale),145.026331,1,72,POINT (145.026330848497 -37.85119002835852)
19065,-37.850879,41-Murray St/Malvern Rd (Malvern),145.023918,1,72,POINT (145.0239181298614 -37.85087898831684)
19066,-37.850588,40-Kooyong Rd/Malvern Rd (Toorak),145.021596,1,72,POINT (145.02159612989348 -37.85058801786782)
19067,-37.850156,39-Densham Rd/Malvern Rd (Toorak),145.018426,1,72,POINT (145.01842596997471 -37.85015601722047)
19068,-37.849793,38-Clendon Rd/Malvern Rd (Toorak),145.015617,1,72,POINT (145.01561689001753 -37.84979304660358)
19069,-37.84938,37-Orrong Rd/Malvern Rd (Toorak),145.012469,1,72,POINT (145.0124690500675 -37.84938003586878)
19070,-37.886809,51-Hawthorn Rd/Glenhuntly Rd (Caulfield),145.021764,1,67,POINT (145.0217639107346 -37.88680896814817)
19071,-37.88711,52-Jasmine St/Glenhuntly Rd (Caulfield),145.024121,1,67,POINT (145.0241211975059 -37.88711001798367)
19072,-37.887451,53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield),145.02675,1,67,POINT (145.02674991502082 -37.88745102788358)
19073,-37.887673,54-Bambra Rd/Glenhuntly Rd (Caulfield),145.028689,1,67,POINT (145.02868886913137 -37.887672967827065)
19074,-37.887931,55-Fallon St/Glenhuntly Rd (Caulfield),145.030615,1,67,POINT (145.0306148629726 -37.887930997752505)
19075,-37.888251,56-Kambrook Rd/Glenhuntly Rd (Caulfield),145.033085,1,67,POINT (145.03308517460434 -37.88825103763364)
19076,-37.888502,57-Clarke Ave/Glenhuntly Rd (Caulfield East),145.035114,1,67,POINT (145.03511412736245 -37.88850204751797)
19077,-37.888794,58-Booran Rd/Glenhuntly Rd (Caulfield East),145.03754,1,67,POINT (145.03754015828167 -37.888794007358655)
19078,-37.889132,60-Glenhuntly Shops/Glenhuntly Rd (Caulfield East),145.040476,1,67,POINT (145.04047594914883 -37.889132047120796)
19079,-37.889307,61-Glenhuntly Railway Station/Glenhuntly Rd (Caulfield South),145.041824,1,67,POINT (145.0418241505763 -37.889307006965254)
19081,-37.889633,62-Grange Rd/Glenhuntly Rd (Caulfield East),145.04459,1,67,POINT (145.0445900338895 -37.88963298667783)
18512,-37.772452,34-Maribyrnong Rd/Ascot Vale Rd (Moonee Ponds),144.924024,1,82,POINT (144.92402389536983 -37.77245198939187)
18513,-37.77234,35-Moore St/Maribyrnong Rd (Moonee Ponds),144.921234,1,82,POINT (144.9212338940817 -37.7723400292868)
18514,-37.772026,36-Bayview Tce/Maribyrnong Rd (Moonee Ponds),144.918257,1,82,POINT (144.9182570547497 -37.7720260193031)
18515,-37.771812,37-Union Rd/Maribyrnong Rd (Moonee Ponds),144.916322,1,82,POINT (144.91632205620314 -37.77181199932122)
18516,-37.771415,38-Ferguson St/Maribyrnong Rd (Ascot Vale),144.912757,1,"82,57",POINT (144.91275697924064 -37.77141500929763)
18517,-37.771027,39-Bowen St/Maribyrnong Rd (Moonee Ponds),144.90918,1,"82,57",POINT (144.90918002273642 -37.77102701919904)
18518,-37.770631,40-Epsom Rd/Maribyrnong Rd (Ascot Vale),144.905672,1,"82,57",POINT (144.90567218664538 -37.77063101902947)
18519,-37.77187,37-Maribyrnong Rd/Union Rd (Ascot Vale),144.91607,1,57,POINT (144.91607005633935 -37.771869959307985)
18520,-37.773703,36-St Leonards Rd/Union Rd (Ascot Vale),144.91578,1,57,POINT (144.915779895108 -37.77370298901898)
18521,-37.776103,35-Munro St/Union Rd (Ascot Vale),144.915395,1,57,POINT (144.91539505323152 -37.77610301868347)
18522,-37.778627,34-Burrowes St/Union Rd (Ascot Vale),144.914949,1,57,POINT (144.91494901091386 -37.77862697839001)
18524,-37.782668,32-Sandown Rd/Epsom Rd (Ascot Vale),144.916675,1,57,POINT (144.91667484905344 -37.7826679773819)
18525,-37.784425,31-Racing Victoria/400 Epsom Rd (Flemington),144.918204,1,57,POINT (144.91820413002074 -37.784424956581425)
18526,-37.785913,30-Flemington Racecourse/Epsom Rd (Flemington),144.919786,1,57,POINT (144.91978597461846 -37.78591301603534)
18527,-37.787446,29-Flemington Racecourse/Racecourse Rd (Flemington),144.921889,1,57,POINT (144.92188910348702 -37.78744598721136)
18528,-37.787741,28-Smithfield Rd/Racecourse Rd (Flemington),144.925345,1,57,POINT (144.92534511156026 -37.787741009197234)
18529,-37.788074,26-Newmarket Plaza/Racecourse Rd (Kensington),144.92839,1,57,POINT (144.92838999825076 -37.788074010937976)
18530,-37.788354,25-Wellington St/Racecourse Rd (Flemington),144.93046,1,57,POINT (144.9304600024814 -37.78835400211462)
18531,-37.788507,24-Collett St/Racecourse Rd (Kensington),144.933522,1,57,POINT (144.93352216838872 -37.78850700383582)
18532,-37.788749,23-Stubbs St/Racecourse Rd (Flemington),144.93548,1,57,POINT (144.93548021100722 -37.788749014634256)
18533,-37.789209,22-Boundary Rd/Racecourse Rd (North Melbourne),144.940145,1,57,POINT (144.9401450911383 -37.78920900434075)
18536,-37.793729,19-Abbotsford St Interchange/Abbotsford St (North Melbourne),144.947163,1,57,POINT (144.9471629265044 -37.79372898386426)
18537,-37.795246,18-Erskine St/Abbotsford St (North Melbourne),144.946803,1,57,POINT (144.94680292452833 -37.7952460238775)
18538,-37.796719,17-Canning St/Abbotsford St (North Melbourne),144.946535,1,57,POINT (144.94653508262178 -37.79671896388556)
18539,-37.797968,16-Haines St/Abbotsford St (North Melbourne),144.946319,1,57,POINT (144.9463190810062 -37.7979679838921)
18540,-37.800672,15-Arden St/Abbotsford St (North Melbourne),144.945835,1,57,POINT (144.94583487715047 -37.800672033885995)
18541,-37.802663,14-Abbotsford St/Queensberry St (North Melbourne),144.945802,1,57,POINT (144.94580211359357 -37.80266301380703)
18543,-37.791414,23-Royal Park/Royal Park (Parkville),144.949294,1,58,POINT (144.94929412976512 -37.79141400374306)
18544,-37.787878,24-Elliott Ave/Royal Park (Parkville),144.949619,1,58,POINT (144.94961921427733 -37.78787799375501)
18545,-37.784383,25-State Netball Hockey Centre/Royal Park (Parkville),144.94867,1,58,POINT (144.9486698968816 -37.78438302367555)
18546,-37.782375,26-Melbourne Zoo/Royal Park (Parkville),144.949282,1,58,POINT (144.9492818942549 -37.78237503312148)
18547,-37.780872,27-Royal Park Station/Royal Park (Parkville),144.950925,1,58,POINT (144.95092492975334 -37.78087203261349)
18548,-37.776917,28-Park St/Royal Park (Parkville),144.94949,1,58,POINT (144.9494899669642 -37.77691698170799)
18549,-37.775814,29-Brunswick Rd/Royal Park (Parkville),144.948748,1,58,POINT (144.94874800467312 -37.77581403141114)
18550,-37.772562,30-Union Square Shopping Centre/Grantham St (Brunswick West),144.949315,1,58,POINT (144.9493150008318 -37.77256197057863)
18551,-37.770298,31-Dawson St/Grantham St (Brunswick West),144.949741,1,58,POINT (144.94974087842888 -37.770298020019325)
18552,-37.769923,32-Foden St/Dawson St (Brunswick),144.947356,1,58,POINT (144.94735587376553 -37.76992298975687)
18553,-37.769593,33-Daly St/Dawson St (Brunswick),144.944425,1,58,POINT (144.94442510785908 -37.76959295944991)
18554,-37.767614,34-Smith St/Melville Rd (Brunswick West),144.943095,1,58,POINT (144.94309489987302 -37.76761403869755)
18555,-37.764912,35-Victoria St/Melville Rd (Brunswick West),144.94368,1,58,POINT (144.94367989224526 -37.76491196779707)
18556,-37.762162,36-Hope St/Melville Rd (Brunswick West),144.944154,1,58,POINT (144.94415400383176 -37.76216201685297)
18557,-37.75874,37-Albion St/Melville Rd (Brunswick West),144.944771,1,58,POINT (144.94477103263634 -37.75874003564618)
18558,-37.756764,38-Jacobs Reserve/Melville Rd (Brunswick West),144.945154,1,58,POINT (144.94515406577116 -37.756763994931575)
18559,-37.754779,39-McGregor Ave/Melville Rd (Brunswick West),144.94555,1,58,POINT (144.94555005983827 -37.754778954297066)
18560,-37.753429,40-Moreland Rd/Melville Rd (Brunswick West),144.945655,1,58,POINT (144.94565482285853 -37.753428954395766)
18561,-37.749512,41-Woodlands Ave/Melville Rd (Pascoe Vale South),144.946354,1,58,POINT (144.94635395146096 -37.74951197458883)
18562,-37.746611,42-Reynard St/Melville Rd (Pascoe Vale South),144.944334,1,58,POINT (144.9443339994443 -37.74661100521353)
18563,-37.744122,43-Princes Tce/Melville Rd (Pascoe Vale South),144.944767,1,58,POINT (144.94476708483373 -37.74412196535539)
18564,-37.741966,44-Brearley Pde/Melville Rd (Pascoe Vale South),144.945133,1,58,POINT (144.94513284965933 -37.74196601544924)
18566,-37.794648,51-Balwyn Rd/Doncaster Rd (Balwyn North),145.084631,1,48,POINT (145.08463106168963 -37.794647979082136)
18567,-37.794372,50-Dight Ave/Doncaster Rd (Balwyn North),145.080936,1,48,POINT (145.08093601915272 -37.79437203870579)
18568,-37.793941,49-Buchanan Ave/Doncaster Rd (Balwyn North),145.077722,1,48,POINT (145.07772193669985 -37.79394102838018)
18569,-37.793412,48-Osburn Ave/Doncaster Rd (Balwyn North),145.074567,1,48,POINT (145.07456689403656 -37.79341200804394)
18570,-37.792727,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),145.070724,1,48,POINT (145.0707238904897 -37.792727017597755)
18571,-37.793006,46-Wattle Ave/Doncaster Rd (Balwyn North),145.067401,1,48,POINT (145.06740108615668 -37.79300601735462)
18573,-37.836632,26-Ferrars St/Park St (South Melbourne),144.956405,1,1,POINT (144.9564051873016 -37.83663198384437)
18574,-37.7947,43-Kew High School/High St (Kew East),145.061349,1,48,POINT (145.061349116201 -37.7946999972572)
